model_alias,protocol,source_dataset,target_dataset,method,tier,training_budget,calibration_scope,diagnostic_only,selected_parameter,metric_status,failure_reason,negative_budget_ratio,negative_budget_seed,pr_auc,pr_auc_ci_low,pr_auc_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,tpr_at_1pct_fpr,fpr_at_95pct_tpr,num_test,num_test_correct,num_test_hard_hallucination,num_encoder_train_correct,num_encoder_train_hard_hallucination,num_encoder_train_hard_hallucination_available,num_excluded_false_negative,num_excluded_parsed_none
llava-onevision-qwen2-7b-ov-hf,pope_to_dashb,pope,dash-b,HALP-lite,tierA,same_constraint_linear_or_cached,oracle_target_calibration,True,C=1.0,passed,,0.5,20260508,0.7080670204820466,0.6584745867070991,0.753242357953561,0.6593571611144244,0.6136154121868682,0.7015357242304433,0.5495765545044589,0.0,1.0,436,242,194,4014,73,147,7,0
llava-onevision-qwen2-7b-ov-hf,repope_to_repope,repope,repope,MIND-main,tierA,50pct_hard_negatives,source_calibration,False,rho=0.009274823873345717,passed,,0.5,20260506,0.5102724353023766,0.4522841759339785,0.5625248005309396,0.9063872304731831,0.8917973914519697,0.9200511617450833,0.151035187631495,0.0,0.1725465041693393,1611,1559,52,3833,69,138,29,0
llava-onevision-qwen2-7b-ov-hf,repope_to_repope,repope,repope,MIND-param,tierA,50pct_hard_negatives,source_calibration,False,single_vmf,passed,,0.5,20260506,0.5148725911096345,0.384692054632682,0.6435318231470075,0.9616741500962156,0.9485025191449552,0.9740012853169031,0.5219204729884471,0.36538461538461536,0.12957023733162285,1611,1559,52,3833,69,138,29,0
llava-onevision-qwen2-7b-ov-hf,repope_to_repope,repope,repope,logistic(z),tierA,50pct_hard_negatives,source_calibration,False,C=0.1,passed,,0.5,20260506,0.5292202992033205,0.40474296890093625,0.6497144832125181,0.9619516948734396,0.9490184614178578,0.9743213147245966,0.4952127380059843,0.36538461538461536,0.1308531109685696,1611,1559,52,3833,69,138,29,0
llava-onevision-qwen2-7b-ov-hf,repope_to_repope,repope,repope,final-hidden linear probe,tierA,same_constraint_linear_or_cached,source_calibration,False,C=0.1,passed,,0.5,20260506,0.48197618850114066,0.3371247907660428,0.6198849633222536,0.8732977253663592,0.8105777070103055,0.9280912532759893,0.4646459325358363,0.3076923076923077,1.0,1611,1559,52,3833,69,138,29,0
llava-onevision-qwen2-7b-ov-hf,repope_to_repope,repope,repope,output-confidence,tierA,same_constraint_linear_or_cached,source_calibration,False,negative_top2_margin,passed,,0.5,20260506,0.14786887392640521,0.09502317979081662,0.23101887437142477,0.8740563477574382,0.843572807377874,0.9019078406214089,0.16248442234974353,0.057692307692307696,0.26298909557408595,1611,1559,52,3833,69,138,29,0
llava-onevision-qwen2-7b-ov-hf,repope_to_repope,repope,repope,HALP-lite,tierA,same_constraint_linear_or_cached,source_calibration,False,C=1.0,passed,,0.5,20260506,0.4836494400542265,0.39584418795254217,0.5646052946321507,0.8194787092317561,0.7557918794402229,0.8821367812054574,0.18600174587014226,0.0,1.0,1611,1559,52,3833,69,138,29,0
llava-onevision-qwen2-7b-ov-hf,repope_to_repope,repope,repope,MIND-main,tierA,50pct_hard_negatives,oracle_target_calibration,True,rho=0.009274823873345717,passed,,0.5,20260506,0.5102724353023766,0.4522841759339785,0.5625248005309396,0.9063872304731831,0.8917973914519697,0.9200511617450833,0.151035187631495,0.0,0.1725465041693393,1611,1559,52,3833,69,138,29,0
llava-onevision-qwen2-7b-ov-hf,repope_to_repope,repope,repope,MIND-param,tierA,50pct_hard_negatives,oracle_target_calibration,True,single_vmf,passed,,0.5,20260506,0.5148725911096345,0.384692054632682,0.6435318231470075,0.9616741500962156,0.9485025191449552,0.9740012853169031,0.5219204729884471,0.36538461538461536,0.12957023733162285,1611,1559,52,3833,69,138,29,0
llava-onevision-qwen2-7b-ov-hf,repope_to_repope,repope,repope,logistic(z),tierA,50pct_hard_negatives,oracle_target_calibration,True,C=0.1,passed,,0.5,20260506,0.5292202992033205,0.40474296890093625,0.6497144832125181,0.9619516948734396,0.9490184614178578,0.9743213147245966,0.4952127380059843,0.36538461538461536,0.1308531109685696,1611,1559,52,3833,69,138,29,0
