model_name,dataset_family,variant,readout,eval_split,eval_scope,metric_status,failure_reason,pr_auc,pr_auc_ci_low,pr_auc_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,tpr_at_1pct_fpr,fpr_at_95pct_tpr,num_test,num_test_correct,num_test_hard_hallucination,num_bank_correct,num_encoder_train,num_encoder_train_hallucination,num_excluded_false_negative,num_excluded_parsed_none
phi-4-multimodal-instruct,repope,Sphere-Traj-MeanPool,Diag-KNN,test,pooled,passed,,0.21299732840787775,0.13351793026943415,0.3225959232859225,0.881015033292909,0.8437253812415655,0.9135267199925223,0.22818836642416712,0.15517241379310345,0.5228931652289317,1565,1507,58,1496,3916,197,75,0
phi-4-multimodal-instruct,repope,Raw-Traj-LSTM,Diag-KNN,test,pooled,passed,,0.11003462423253987,0.07990418896205131,0.1450143359431002,0.8453538658673317,0.8146289945202664,0.8730169856891913,0.11607132881541526,0.0,0.35567352355673526,1565,1507,58,1496,3916,197,75,0
phi-4-multimodal-instruct,repope,Sphere-Traj-LSTM,Diag-KNN,test,pooled,passed,,0.18123557729355802,0.12925484248168964,0.2732981892062271,0.9065510376862,0.8865594007490637,0.9256363928847013,0.1920513430643931,0.10344827586206896,0.1678832116788321,1565,1507,58,1496,3916,197,75,0
phi-3.5-vision-instruct,repope,Raw-Static,Diag-KNN,test,pooled,passed,,0.0878991123331016,0.05968989633507812,0.13237121072654462,0.7514025492359334,0.6943715858997644,0.8080313851013249,0.09618693702107771,0.017241379310344827,0.5820285908781484,1527,1469,58,1475,3764,116,113,0
phi-3.5-vision-instruct,repope,Sphere-Static,Diag-KNN,test,pooled,passed,,0.1507846614277259,0.09425561338925192,0.22323961295906647,0.8316940916879886,0.7903249301323824,0.8729107580622125,0.1606932704152209,0.017241379310344827,0.43907420013614706,1527,1469,58,1475,3764,116,113,0
phi-3.5-vision-instruct,repope,Raw-Traj-MeanPool,Diag-KNN,test,pooled,passed,,0.3140778269228773,0.20359621168368755,0.4265173929118833,0.8906246332245722,0.8555521430190023,0.9202420504760761,0.32218532049922133,0.22413793103448276,0.39686861810755614,1527,1469,58,1475,3764,116,113,0
phi-3.5-vision-instruct,repope,Sphere-Traj-MeanPool,Diag-KNN,test,pooled,passed,,0.3510942156516408,0.22756358796510187,0.46660373108049397,0.8816224971244806,0.8383601362658104,0.9201036854645688,0.3592382044841614,0.27586206896551724,0.5568413886997958,1527,1469,58,1475,3764,116,113,0
phi-3.5-vision-instruct,repope,Raw-Traj-LSTM,Diag-KNN,test,pooled,passed,,0.08401678717542158,0.060966096583575005,0.1093216970961715,0.8060961010304923,0.7782792269593831,0.8310228955932962,0.08862098710700744,0.0,0.28454731109598363,1527,1469,58,1475,3764,116,113,0
phi-3.5-vision-instruct,repope,Sphere-Traj-LSTM,Diag-KNN,test,pooled,passed,,0.09539507740237768,0.06921319766101412,0.12809789431140745,0.8271402079763386,0.800897136480183,0.8519290848757033,0.10193015550596089,0.0,0.2763784887678693,1527,1469,58,1475,3764,116,113,0
gemma-3-4b-it,repope,Raw-Static,Diag-KNN,test,pooled,passed,,0.5206992805044723,0.4422824836890035,0.6033340886627678,0.9162835512732278,0.8971079657944837,0.9333476492031746,0.5239386104744641,0.14,0.28630419821059877,1603,1453,150,1438,3914,407,37,0
