run_id,model_name,dataset_name,subset_scope,seed,quick_run,block,pair_id,row_id,source,signal_builder,yes_no_trace_source,transform,feature_protocol,wavelet,level,threshold,classifier,sequence_model,window_mode,window_strategy,window_size,stride,mode,cwt_scales,feature_kind,feature_shape,feature_seconds,train_shape,validation_shape,test_shape,train_samples,validation_samples,test_samples,status,failure_reason,feature_paths,feature_storage
paired_wavelet_v2,qwen3-vl-8b,repope,"popular,random,adversarial",20260506,false,A,A_wpt_sym4_l2,A_wpt_sym4_l2::Teacher,Teacher,teacher_hidden_dim_signal,,wpt,wavelet_summary_static_pooled,sym4,2,not_applicable,logreg,,global,full,,,symmetric,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 12.0, 16.0]",static,7986x66,103.4579940252006,4795x66,1579x66,1612x66,4795,1579,1612,success,,[],memory
paired_wavelet_v2,qwen3-vl-8b,repope,"popular,random,adversarial",20260506,false,A,A_wpt_sym4_l2,A_wpt_sym4_l2::Ours,Ours,ours_semantic_trace_signal,final_broadcast,wpt,wavelet_summary_static_pooled,sym4,2,not_applicable,logreg,,global,full,,,symmetric,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 12.0, 16.0]",static,7986x66,55.400640906067565,4795x66,1579x66,1612x66,4795,1579,1612,success,,[],memory
paired_wavelet_v2,qwen3-vl-8b,repope,"popular,random,adversarial",20260506,false,A,A_cwt_morl_scales_1_16,A_cwt_morl_scales_1_16::Teacher,Teacher,teacher_hidden_dim_signal,,cwt,wavelet_summary_static_pooled,morl,,not_applicable,logreg,,global,full,,,symmetric,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 12.0, 16.0]",static,7986x102,2469.4637676267885,4795x102,1579x102,1612x102,4795,1579,1612,success,,[],memory
paired_wavelet_v2,qwen3-vl-8b,repope,"popular,random,adversarial",20260506,false,A,A_cwt_morl_scales_1_16,A_cwt_morl_scales_1_16::Ours,Ours,ours_semantic_trace_signal,final_broadcast,cwt,wavelet_summary_static_pooled,morl,,not_applicable,logreg,,global,full,,,symmetric,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 12.0, 16.0]",static,7986x102,70.75464821606874,4795x102,1579x102,1612x102,4795,1579,1612,success,,[],memory
paired_wavelet_v2,qwen3-vl-8b,repope,"popular,random,adversarial",20260506,false,A,A_cwt_mexh_scales_1_16,A_cwt_mexh_scales_1_16::Teacher,Teacher,teacher_hidden_dim_signal,,cwt,wavelet_summary_static_pooled,mexh,,not_applicable,logreg,,global,full,,,symmetric,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 12.0, 16.0]",static,7986x102,2477.629906682996,4795x102,1579x102,1612x102,4795,1579,1612,success,,[],memory
paired_wavelet_v2,qwen3-vl-8b,repope,"popular,random,adversarial",20260506,false,A,A_cwt_mexh_scales_1_16,A_cwt_mexh_scales_1_16::Ours,Ours,ours_semantic_trace_signal,final_broadcast,cwt,wavelet_summary_static_pooled,mexh,,not_applicable,logreg,,global,full,,,symmetric,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 12.0, 16.0]",static,7986x102,64.9191707179416,4795x102,1579x102,1612x102,4795,1579,1612,success,,[],memory
paired_wavelet_v2,qwen3-vl-8b,repope,"popular,random,adversarial",20260506,false,B,B_direct_raw_sequence,B_direct_raw_sequence::Teacher,Teacher,teacher_hidden_dim_signal,,none,raw_sequence,,,none,,lstm_projected,global,full,,,symmetric,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 12.0, 16.0]",sequence,7986x36x4096,14.851001862902194,4795x36x4096,1579x36x4096,1612x36x4096,4795,1579,1612,success,,"[""/home/team/zhanghaonan/mind/outputs/wavelet_course_v2/features/feature_arrays/B_direct_raw_sequence__Teacher.train.float32.mmap"", ""/home/team/zhanghaonan/mind/outputs/wavelet_course_v2/features/feature_arrays/B_direct_raw_sequence__Teacher.validation.float32.mmap"", ""/home/team/zhanghaonan/mind/outputs/wavelet_course_v2/features/feature_arrays/B_direct_raw_sequence__Teacher.test.float32.mmap""]",memmap
paired_wavelet_v2,qwen3-vl-8b,repope,"popular,random,adversarial",20260506,false,B,B_direct_raw_sequence,B_direct_raw_sequence::Ours,Ours,ours_semantic_trace_signal,final_broadcast,none,raw_sequence,,,none,,lstm_projected,global,full,,,symmetric,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 12.0, 16.0]",sequence,7986x36x10,41.319111972814426,4795x36x10,1579x36x10,1612x36x10,4795,1579,1612,success,,[],memory
paired_wavelet_v2,qwen3-vl-8b,repope,"popular,random,adversarial",20260506,false,B,B_global_window_stat28_sequence_lstm_projected,B_global_window_stat28_sequence_lstm_projected::Teacher,Teacher,teacher_hidden_dim_signal,,swt,window_stat28_sequence,db2,2,universal_soft,,lstm_projected,global,full,,,symmetric,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 12.0, 16.0]",sequence,7986x1x114688,1283.9871260540094,4795x1x114688,1579x1x114688,1612x1x114688,4795,1579,1612,success,,"[""/home/team/zhanghaonan/mind/outputs/wavelet_course_v2/features/feature_arrays/B_global_window_stat28_sequence_lstm_projected__Teacher.train.float32.mmap"", ""/home/team/zhanghaonan/mind/outputs/wavelet_course_v2/features/feature_arrays/B_global_window_stat28_sequence_lstm_projected__Teacher.validation.float32.mmap"", ""/home/team/zhanghaonan/mind/outputs/wavelet_course_v2/features/feature_arrays/B_global_window_stat28_sequence_lstm_projected__Teacher.test.float32.mmap""]",memmap
paired_wavelet_v2,qwen3-vl-8b,repope,"popular,random,adversarial",20260506,false,B,B_global_window_stat28_sequence_lstm_projected,B_global_window_stat28_sequence_lstm_projected::Ours,Ours,ours_semantic_trace_signal,final_broadcast,swt,window_stat28_sequence,db2,2,universal_soft,,lstm_projected,global,full,,,symmetric,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 12.0, 16.0]",sequence,7986x1x280,57.39230092102662,4795x1x280,1579x1x280,1612x1x280,4795,1579,1612,success,,[],memory
paired_wavelet_v2,qwen3-vl-8b,repope,"popular,random,adversarial",20260506,false,B,B_win4_s4_window_stat28_sequence_lstm_projected,B_win4_s4_window_stat28_sequence_lstm_projected::Teacher,Teacher,teacher_hidden_dim_signal,,swt,window_stat28_sequence,db2,2,universal_soft,,lstm_projected,win4_s4,non_overlapping,4,4,symmetric,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 12.0, 16.0]",sequence,7986x9x114688,1493.3807260040194,4795x9x114688,1579x9x114688,1612x9x114688,4795,1579,1612,success,,"[""/home/team/zhanghaonan/mind/outputs/wavelet_course_v2/features/feature_arrays/B_win4_s4_window_stat28_sequence_lstm_projected__Teacher.train.float32.mmap"", ""/home/team/zhanghaonan/mind/outputs/wavelet_course_v2/features/feature_arrays/B_win4_s4_window_stat28_sequence_lstm_projected__Teacher.validation.float32.mmap"", ""/home/team/zhanghaonan/mind/outputs/wavelet_course_v2/features/feature_arrays/B_win4_s4_window_stat28_sequence_lstm_projected__Teacher.test.float32.mmap""]",memmap
