model_alias,dataset_family,objective,num_bank_correct,embedding_dim,mean_resultant_length,concentration_proxy
minicpm-v-4_5,pope,bce,1587,128,0.8635216301598965,432.06344704777956
minicpm-v-4_5,dash-b,bce,391,128,0.9370314875716589,976.5954400613948
minicpm-v-4_5,repope,supcon,1530,128,0.9999486799646315,1237302.7689587749
minicpm-v-4_5,pope,supcon,1587,128,0.99994365285378,1126911.8585655203
minicpm-v-4_5,dash-b,supcon,391,128,0.9999568425020284,1471324.239355912
minicpm-v-4_5,repope,proxy_anchor,1530,128,0.9629431236539941,1682.1956598828033
minicpm-v-4_5,pope,proxy_anchor,1587,128,0.946352729233787,1151.9788327291055
minicpm-v-4_5,dash-b,proxy_anchor,391,128,0.9717496679732314,2216.5280424379903
llava-v1.5-7b,repope,bce,1461,128,0.775189580849582,247.4645802280884
llava-v1.5-7b,pope,bce,1562,128,0.6805133478680014,161.65078770654182
llava-v1.5-7b,dash-b,bce,281,128,0.6995030402432497,174.65225313613783
llava-v1.5-7b,repope,supcon,1461,128,0.9998000475063961,317544.6809473229
llava-v1.5-7b,pope,supcon,1562,128,0.9997687686150587,274585.9466640472
llava-v1.5-7b,dash-b,supcon,281,128,0.9998190047007446,350807.0878243742
llava-v1.5-7b,repope,proxy_anchor,1461,128,0.8906222533999232,547.8606463608388
llava-v1.5-7b,pope,proxy_anchor,1562,128,0.8856000641890521,522.2795593154915
llava-v1.5-7b,dash-b,proxy_anchor,281,128,0.9820404234699881,3504.662459565583
qwen2.5-vl-7b,repope,bce,1531,128,0.8668350735336465,443.7043356756671
qwen2.5-vl-7b,pope,bce,1588,128,0.815205918543922,309.45867272207266
qwen2.5-vl-7b,dash-b,bce,384,128,0.8572328161156816,411.44666501630394
qwen2.5-vl-7b,repope,supcon,1531,128,0.9998506042987937,425014.94482663716
qwen2.5-vl-7b,pope,supcon,1588,128,0.9998534866798161,433376.93988121435
qwen2.5-vl-7b,dash-b,supcon,384,128,0.9999029395996755,654201.0441065455
qwen2.5-vl-7b,repope,proxy_anchor,1531,128,0.9467443660962966,1160.6902930896667
qwen2.5-vl-7b,pope,proxy_anchor,1588,128,0.9425224999429321,1073.0331987103164
qwen2.5-vl-7b,dash-b,proxy_anchor,384,128,0.9857110396406591,4412.997455137756
