epoch,loss,model_alias,objective
3.0,5.431937643725289,gemma-3-12b-it,supcon
4.0,5.421105415033539,gemma-3-12b-it,supcon
5.0,5.4055069098225665,gemma-3-12b-it,supcon
6.0,5.3965188930716685,gemma-3-12b-it,supcon
7.0,5.382856367819869,gemma-3-12b-it,supcon
8.0,5.375785262336558,gemma-3-12b-it,supcon
9.0,5.369055068570804,gemma-3-12b-it,supcon
10.0,5.36398798931538,gemma-3-12b-it,supcon
11.0,5.351483756180922,gemma-3-12b-it,supcon
12.0,5.344123056631342,gemma-3-12b-it,supcon
13.0,5.336220839803935,gemma-3-12b-it,supcon
14.0,5.33166761815458,gemma-3-12b-it,supcon
15.0,5.317110538722403,gemma-3-12b-it,supcon
16.0,5.308349507726455,gemma-3-12b-it,supcon
17.0,5.301210990079148,gemma-3-12b-it,supcon
18.0,5.390580564242862,gemma-3-12b-it,supcon
19.0,5.342490396168796,gemma-3-12b-it,supcon
20.0,5.332283370994695,gemma-3-12b-it,supcon
1.0,13.630741559542143,gemma-3-12b-it,proxy_anchor
2.0,13.089585075551028,gemma-3-12b-it,proxy_anchor
3.0,12.747970418033438,gemma-3-12b-it,proxy_anchor
4.0,12.606783776261688,gemma-3-12b-it,proxy_anchor
5.0,12.091458567546923,gemma-3-12b-it,proxy_anchor
6.0,12.432806087894736,gemma-3-12b-it,proxy_anchor
7.0,12.568428695951052,gemma-3-12b-it,proxy_anchor
8.0,11.832534114939294,gemma-3-12b-it,proxy_anchor
9.0,11.04772194142675,gemma-3-12b-it,proxy_anchor
10.0,11.683394314117201,gemma-3-12b-it,proxy_anchor
11.0,10.778711200060108,gemma-3-12b-it,proxy_anchor
12.0,10.393272558128851,gemma-3-12b-it,proxy_anchor
13.0,9.687908362718968,gemma-3-12b-it,proxy_anchor
14.0,9.902096293330972,gemma-3-12b-it,proxy_anchor
15.0,13.57699870104284,gemma-3-12b-it,proxy_anchor
16.0,11.960357964248619,gemma-3-12b-it,proxy_anchor
17.0,10.939001527846669,gemma-3-12b-it,proxy_anchor
18.0,9.2897640274301,gemma-3-12b-it,proxy_anchor
19.0,15.359093211055582,gemma-3-12b-it,proxy_anchor
20.0,11.09386498847758,gemma-3-12b-it,proxy_anchor
1.0,1.0241640945740766,gemma-4-12b-it,bce
2.0,0.6574723989867846,gemma-4-12b-it,bce
3.0,0.5889715825036218,gemma-4-12b-it,bce
4.0,0.5345721893934502,gemma-4-12b-it,bce
5.0,0.6497540080627071,gemma-4-12b-it,bce
6.0,0.5566147986363408,gemma-4-12b-it,bce
7.0,0.5327354389688242,gemma-4-12b-it,bce
8.0,0.6162713245005911,gemma-4-12b-it,bce
9.0,0.4897372840638942,gemma-4-12b-it,bce
10.0,0.42398131938283656,gemma-4-12b-it,bce
11.0,0.8114277914216287,gemma-4-12b-it,bce
12.0,0.5471965574101859,gemma-4-12b-it,bce
13.0,0.3613526244825344,gemma-4-12b-it,bce
14.0,0.6264775812825232,gemma-4-12b-it,bce
15.0,0.47922627913912,gemma-4-12b-it,bce
16.0,0.3557616195152436,gemma-4-12b-it,bce
17.0,0.33751237884811736,gemma-4-12b-it,bce
18.0,0.360023024608459,gemma-4-12b-it,bce
19.0,0.35361204488719983,gemma-4-12b-it,bce
20.0,0.3312831536782625,gemma-4-12b-it,bce
1.0,5.51922393722279,gemma-4-12b-it,supcon
2.0,5.517732107679182,gemma-4-12b-it,supcon
3.0,5.516798546003259,gemma-4-12b-it,supcon
4.0,5.515100977971003,gemma-4-12b-it,supcon
5.0,5.516088325921508,gemma-4-12b-it,supcon
