model_alias,objective,selected_k,selected_on,selection_metric,selection_pr_auc,selection_roc_auc,num_bank_correct,metric_status,dataset_family,split,metric_split,readout,k,bank_size,pr_auc,roc_auc
gemma-3-12b-it,supcon,,,,,,1443,passed,repope,cal,cal,Diag-kNN-tuned,16,1443,0.7542217411654151,0.9632044390497659
gemma-3-12b-it,supcon,,,,,,1443,passed,repope,cal,cal,Diag-kNN-tuned,32,1443,0.789010725759058,0.96859719091382
gemma-3-12b-it,proxy_anchor,,,,,,1443,passed,repope,cal,cal,Diag-kNN-tuned,1,1443,0.23808233821989394,0.7123981272758799
gemma-3-12b-it,proxy_anchor,,,,,,1443,passed,repope,cal,cal,Diag-kNN-tuned,2,1443,0.22500210407460272,0.6970868735911219
gemma-3-12b-it,proxy_anchor,,,,,,1443,passed,repope,cal,cal,Diag-kNN-tuned,4,1443,0.23611708215874416,0.7158487948673486
gemma-3-12b-it,proxy_anchor,,,,,,1443,passed,repope,cal,cal,Diag-kNN-tuned,8,1443,0.2773094902395151,0.763412519507543
gemma-3-12b-it,proxy_anchor,,,,,,1443,passed,repope,cal,cal,Diag-kNN-tuned,16,1443,0.3287867275259724,0.7955956303103868
gemma-3-12b-it,proxy_anchor,,,,,,1443,passed,repope,cal,cal,Diag-kNN-tuned,32,1443,0.34897830107008143,0.8168891971562338
gemma-4-12b-it,bce,,,,,,1138,passed,repope,cal,cal,Diag-kNN-tuned,1,1138,0.03839724794291593,0.7830776605944392
gemma-4-12b-it,bce,,,,,,1138,passed,repope,cal,cal,Diag-kNN-tuned,2,1138,0.038336754072307334,0.7818791946308725
gemma-4-12b-it,bce,,,,,,1138,passed,repope,cal,cal,Diag-kNN-tuned,4,1138,0.03481780191419548,0.7864333652924257
gemma-4-12b-it,bce,,,,,,1138,passed,repope,cal,cal,Diag-kNN-tuned,8,1138,0.03590971343264277,0.8149568552253116
gemma-4-12b-it,bce,,,,,,1138,passed,repope,cal,cal,Diag-kNN-tuned,16,1138,0.03764243974173181,0.8286193672099712
gemma-4-12b-it,bce,,,,,,1138,passed,repope,cal,cal,Diag-kNN-tuned,32,1138,0.041151715322449045,0.8530680728667306
gemma-4-12b-it,supcon,,,,,,1138,passed,repope,cal,cal,Diag-kNN-tuned,1,1138,0.33907466734467173,0.8933365292425695
gemma-4-12b-it,supcon,,,,,,1138,passed,repope,cal,cal,Diag-kNN-tuned,2,1138,0.3351855742282476,0.8904602109300096
gemma-4-12b-it,supcon,,,,,,1138,passed,repope,cal,cal,Diag-kNN-tuned,4,1138,0.3271715785122731,0.8720038350910834
gemma-4-12b-it,supcon,,,,,,1138,passed,repope,cal,cal,Diag-kNN-tuned,8,1138,0.32006183162111707,0.8458772770853308
gemma-4-12b-it,supcon,,,,,,1138,passed,repope,cal,cal,Diag-kNN-tuned,16,1138,0.3253240967275103,0.8080057526366251
gemma-4-12b-it,supcon,,,,,,1138,passed,repope,cal,cal,Diag-kNN-tuned,32,1138,0.3426557274233053,0.7914669223394055
gemma-4-12b-it,proxy_anchor,,,,,,1138,passed,repope,cal,cal,Diag-kNN-tuned,1,1138,0.24056089371529843,0.8027325023969318
gemma-4-12b-it,proxy_anchor,,,,,,1138,passed,repope,cal,cal,Diag-kNN-tuned,2,1138,0.34768503675360074,0.8024928092042185
gemma-4-12b-it,proxy_anchor,,,,,,1138,passed,repope,cal,cal,Diag-kNN-tuned,4,1138,0.3710268840206323,0.8154362416107382
gemma-4-12b-it,proxy_anchor,,,,,,1138,passed,repope,cal,cal,Diag-kNN-tuned,8,1138,0.32250228290149097,0.8391658676893576
gemma-4-12b-it,proxy_anchor,,,,,,1138,passed,repope,cal,cal,Diag-kNN-tuned,16,1138,0.2624380408077209,0.8506711409395973
gemma-4-12b-it,proxy_anchor,,,,,,1138,passed,repope,cal,cal,Diag-kNN-tuned,32,1138,0.25871315261370803,0.8681687440076702
qwen3.5-4b,bce,,,,,,1548,passed,repope,cal,cal,Diag-kNN-tuned,1,1548,0.016770812414993744,0.7000279173646008
qwen3.5-4b,bce,,,,,,1548,passed,repope,cal,cal,Diag-kNN-tuned,2,1548,0.01673825429036265,0.6994695700725851
qwen3.5-4b,bce,,,,,,1548,passed,repope,cal,cal,Diag-kNN-tuned,4,1548,0.016360480678980147,0.6950027917364601
qwen3.5-4b,bce,,,,,,1548,passed,repope,cal,cal,Diag-kNN-tuned,8,1548,0.015820269079935168,0.6832774986041318
qwen3.5-4b,bce,,,,,,1548,passed,repope,cal,cal,Diag-kNN-tuned,16,1548,0.014873950573342402,0.6627582356225572
qwen3.5-4b,bce,,,,,,1548,passed,repope,cal,cal,Diag-kNN-tuned,32,1548,0.013891222086165925,0.6362367392518146
qwen3.5-4b,supcon,,,,,,1548,passed,repope,cal,cal,Diag-kNN-tuned,1,1548,0.06097548459614856,0.6762981574539364
qwen3.5-4b,supcon,,,,,,1548,passed,repope,cal,cal,Diag-kNN-tuned,2,1548,0.05991152242415745,0.6594081518704634
