model,benchmark,protocol,bank_scope,variant,report_path,random_state,accuracy,precision,recall,f1,roc_auc,pr_auc,tpr_at_fpr_0.01,false_positive_rate
InternVL3.5-8B,POPE adversarial,image_grouped,object,raw_plus_calibrated_simple,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,23,0.887,0.5476190476190477,0.0670553935860058,0.1194805194805194,0.8508006245672634,0.4154501418946007,0.0903790087463556,0.0071509220925856
InternVL3.5-8B,POPE adversarial,image_grouped,object,raw_plus_calibrated_simple,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,29,0.8876666666666667,0.5714285714285714,0.0699708454810495,0.1246753246753246,0.8519505656986167,0.417314028413408,0.1107871720116618,0.0067745577719232
InternVL3.5-8B,POPE adversarial,image_grouped,object,raw_plus_calibrated_full_curve,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,13,0.891,0.6290322580645161,0.1137026239067055,0.1925925925925926,0.8582686582886286,0.4339539611452505,0.1224489795918367,0.0086563793752352
InternVL3.5-8B,POPE adversarial,image_grouped,object,raw_plus_calibrated_full_curve,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,17,0.8873333333333333,0.5396825396825397,0.0991253644314868,0.167487684729064,0.8589116597227633,0.4288956575212136,0.0962099125364431,0.0109145652992096
InternVL3.5-8B,POPE adversarial,image_grouped,object,raw_plus_calibrated_full_curve,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,19,0.8883333333333333,0.5625,0.1049562682215743,0.1769041769041769,0.8563122221844273,0.426181761534634,0.1049562682215743,0.0105382009785472
InternVL3.5-8B,POPE adversarial,image_grouped,object,raw_plus_calibrated_full_curve,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,23,0.8886666666666667,0.576271186440678,0.0991253644314868,0.1691542288557214,0.8564581593699904,0.4330788763190183,0.1020408163265306,0.00940910801656
InternVL3.5-8B,POPE adversarial,image_grouped,object,raw_plus_calibrated_full_curve,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,29,0.8886666666666667,0.576271186440678,0.0991253644314868,0.1691542288557214,0.8582785337372757,0.4305326920638823,0.1020408163265306,0.00940910801656
InternVL3.5-8B,POPE adversarial,image_grouped,object,raw_plus_calibrated_haar,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,13,0.89,0.7096774193548387,0.0641399416909621,0.1176470588235294,0.8493664899692872,0.4112517071211611,0.0962099125364431,0.0033872788859616
InternVL3.5-8B,POPE adversarial,image_grouped,object,raw_plus_calibrated_haar,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,17,0.8883333333333333,0.6111111111111112,0.0641399416909621,0.1160949868073878,0.8485885240703087,0.4025862420471019,0.107871720116618,0.0052691004892736
InternVL3.5-8B,POPE adversarial,image_grouped,object,raw_plus_calibrated_haar,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,19,0.8873333333333333,0.5641025641025641,0.0641399416909621,0.1151832460732984,0.8467648578868076,0.3973158538748589,0.0816326530612244,0.0063981934512608
InternVL3.5-8B,POPE adversarial,image_grouped,object,raw_plus_calibrated_haar,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,23,0.8896666666666667,0.6875,0.0641399416909621,0.1173333333333333,0.8492008018864302,0.4099361624770957,0.1137026239067055,0.003763643206624
InternVL3.5-8B,POPE adversarial,image_grouped,object,raw_plus_calibrated_haar,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,29,0.887,0.5588235294117647,0.0553935860058309,0.1007957559681697,0.8478884644884354,0.4001151671555125,0.0932944606413994,0.005645464809936
InternVL3.5-8B,DASH-B,image_grouped,object,full,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-dash-b,13,0.808351976137211,0.7589453860640302,0.5107731305449936,0.6106060606060606,0.859500380629857,0.7203837441047978,0.1204055766793409,0.0676175382989963
InternVL3.5-8B,DASH-B,image_grouped,object,full,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-dash-b,17,0.8049962714392245,0.7587548638132295,0.494296577946768,0.5986185725249424,0.8624202167012482,0.7223026543963206,0.108998732572877,0.0655044902271526
InternVL3.5-8B,DASH-B,image_grouped,object,full,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-dash-b,19,0.8064876957494407,0.7566539923954373,0.5044359949302915,0.6053231939163498,0.8613536496611826,0.7292649849615773,0.1267427122940431,0.0676175382989963
InternVL3.5-8B,DASH-B,image_grouped,object,full,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-dash-b,23,0.8090976882923192,0.7618147448015122,0.5107731305449936,0.6115326251896813,0.8583949806404356,0.7211872261388251,0.1280101394169835,0.0665610142630744
InternVL3.5-8B,DASH-B,image_grouped,object,full,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-dash-b,29,0.807979120059657,0.7614503816793893,0.5057034220532319,0.6077684691546078,0.8631694248103712,0.7303414144220727,0.1432192648922687,0.0660327522451135
InternVL3.5-8B,DASH-B,image_grouped,object,drift_only,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-dash-b,13,0.8076062639821029,0.768172888015717,0.4955640050697085,0.6024653312788906,0.8593222846897081,0.7054100187955769,0.0988593155893536,0.0623349181193872
InternVL3.5-8B,DASH-B,image_grouped,object,drift_only,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-dash-b,17,0.8038777032065623,0.7573385518590998,0.4904942965779467,0.5953846153846154,0.8598907187242438,0.7049717835592573,0.0899873257287705,0.0655044902271526
InternVL3.5-8B,DASH-B,image_grouped,object,drift_only,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-dash-b,19,0.8102162565249813,0.7692307692307693,0.5069708491761724,0.6111535523300229,0.8608876542689129,0.7088573068767398,0.0937896070975918,0.063391442155309
InternVL3.5-8B,DASH-B,image_grouped,object,drift_only,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-dash-b,23,0.8098434004474273,0.7762376237623763,0.4968314321926489,0.6058732612055642,0.8591475364176068,0.7038627513988659,0.0925221799746514,0.0596936080295826
InternVL3.5-8B,DASH-B,image_grouped,object,drift_only,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-dash-b,29,0.8068605518269948,0.7651663405088063,0.4955640050697085,0.6015384615384616,0.8608059711685436,0.7072889043156608,0.0950570342205323,0.063391442155309
InternVL3.5-8B,DASH-B,image_grouped,object,no_manifold,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-dash-b,13,0.8146905294556301,0.7073863636363636,0.6311787072243346,0.667113194909578,0.8769477569619777,0.728772290795189,0.1495564005069708,0.1088219756999471
InternVL3.5-8B,DASH-B,image_grouped,object,no_manifold,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-dash-b,17,0.8158090976882924,0.7062937062937062,0.6400506970849176,0.6715425531914894,0.8793915546369554,0.724619586047792,0.1546261089987325,0.1109350237717908
InternVL3.5-8B,DASH-B,image_grouped,object,no_manifold,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-dash-b,19,0.8150633855331841,0.7048951048951049,0.6387832699619772,0.6702127659574468,0.8796486555430354,0.7283523340289281,0.1571609632446134,0.1114632857897517
InternVL3.5-8B,DASH-B,image_grouped,object,no_manifold,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-dash-b,23,0.8154362416107382,0.7094017094017094,0.6311787072243346,0.6680080482897385,0.8791532006719438,0.7259159148355859,0.1584283903675538,0.1077654516640253
InternVL3.5-8B,DASH-B,image_grouped,object,no_manifold,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-dash-b,29,0.813944817300522,0.7077363896848138,0.6261089987325729,0.6644250168123739,0.8773340778547072,0.7207957937369837,0.1242078580481622,0.1077654516640253
InternVL3.5-8B,DASH-B,image_grouped,object,linear_probe,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-dash-b,13,0.9377330350484712,0.8558352402745996,0.9480354879594424,0.899579073962718,0.9858407032245408,0.9699394035822676,0.7858048162230672,0.0665610142630744
InternVL3.5-8B,DASH-B,image_grouped,object,linear_probe,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-dash-b,17,0.9351230425055927,0.847457627118644,0.9505703422053232,0.8960573476702509,0.9846335341264628,0.9685721635333924,0.7604562737642585,0.0713153724247226
InternVL3.5-8B,DASH-B,image_grouped,object,linear_probe,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-dash-b,19,0.9340044742729308,0.8469387755102041,0.946768060836502,0.8940754039497307,0.9854265966870138,0.9694520515575256,0.7693282636248415,0.0713153724247226
InternVL3.5-8B,DASH-B,image_grouped,object,linear_probe,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-dash-b,23,0.9332587621178224,0.8419282511210763,0.9518377693282636,0.8935157644259369,0.9866535170265744,0.97230868591188,0.7731305449936628,0.0744849445324881
InternVL3.5-8B,DASH-B,image_grouped,object,linear_probe,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-dash-b,29,0.9407158836689038,0.8579545454545454,0.9569074778200254,0.9047333732774115,0.9871971783175558,0.9738783278875288,0.7997465145754119,0.0660327522451135
InternVL3.5-8B,DASH-B,image_grouped,object,output_p_yes,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-dash-b,13,0.7058165548098434,0.0,0.0,0.0,0.478971623157025,0.25582280571919,0.0,0.0
InternVL3.5-8B,DASH-B,image_grouped,object,output_p_yes,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-dash-b,17,0.7058165548098434,0.0,0.0,0.0,0.4828408578868046,0.2564403217230196,0.0,0.0
InternVL3.5-8B,DASH-B,image_grouped,object,output_p_yes,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-dash-b,19,0.7058165548098434,0.0,0.0,0.0,0.4788370469014988,0.2547467412966923,0.0,0.0
InternVL3.5-8B,DASH-B,image_grouped,object,output_p_yes,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-dash-b,23,0.7058165548098434,0.0,0.0,0.0,0.4736943592462926,0.2528587888220767,0.0,0.0
