model,benchmark,benchmark_key,method,status,split_strategy,feature_source,metrics_path,predictions_path,n_rows,roc_auc,roc_auc_ci_lower,roc_auc_ci_upper,pr_auc,pr_auc_ci_lower,pr_auc_ci_upper
molmo-7b-d-0924,POPE popular,popular,object_cond,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/molmo-7b-d-0924/popular/object_conditioned/local_pca.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/molmo-7b-d-0924/popular/object_conditioned/full_curve.json,outputs/gpu_round_2026_04/bank_identity/predictions/molmo-7b-d-0924/popular/object_conditioned/full_curve.parquet,3000,0.8906588554382324,0.8650479912757874,0.9161563515663148,0.3657320737838745,0.2868079543113708,0.4481949806213379
molmo-7b-d-0924,POPE popular,popular,shared,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/molmo-7b-d-0924/popular/shared/local_pca.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/molmo-7b-d-0924/popular/shared/full_curve.json,outputs/gpu_round_2026_04/bank_identity/predictions/molmo-7b-d-0924/popular/shared/full_curve.parquet,3000,0.8684954643249512,0.8399555087089539,0.8960061073303223,0.2915123701095581,0.2300871908664703,0.3649657070636749
molmo-7b-d-0924,POPE popular,popular,shuffled,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/molmo-7b-d-0924/popular/shuffled_object/local_pca.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/molmo-7b-d-0924/popular/shuffled_object/full_curve.json,outputs/gpu_round_2026_04/bank_identity/predictions/molmo-7b-d-0924/popular/shuffled_object/full_curve.parquet,3000,0.8931659460067749,0.866986870765686,0.9184654355049132,0.3876097500324249,0.3114027082920074,0.4678447842597961
molmo-7b-d-0924,POPE popular,popular,query_local_k30,ok,image_grouped,outputs/gpu_round_2026_04/query_local_bank/features/molmo-7b-d-0924/popular/query_local_k30.parquet,outputs/gpu_round_2026_04/query_local_bank/metrics/molmo-7b-d-0924/popular/query_local_k30.json,outputs/gpu_round_2026_04/query_local_bank/predictions/molmo-7b-d-0924/popular/query_local_k30.parquet,3000,0.8884484171867371,0.8649332523345947,0.9143390655517578,0.37193426489830017,0.2950212359428406,0.4536798298358917
molmo-7b-d-0924,POPE popular,popular,no_manifold,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/molmo-7b-d-0924/popular/object_conditioned/no_manifold.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/molmo-7b-d-0924/popular/object_conditioned/no_manifold.json,outputs/gpu_round_2026_04/bank_identity/predictions/molmo-7b-d-0924/popular/object_conditioned/no_manifold.parquet,3000,0.806327223777771,0.7725004553794861,0.8433311581611633,0.1912057846784591,0.147704541683197,0.2489732354879379
molmo-7b-d-0924,POPE popular,popular,linear_probe,ok,image_grouped,outputs/gpu_round_2026_04/query_local_bank/features/molmo-7b-d-0924/popular/linear_probe.parquet,outputs/gpu_round_2026_04/query_local_bank/metrics/molmo-7b-d-0924/popular/linear_probe.json,outputs/gpu_round_2026_04/query_local_bank/predictions/molmo-7b-d-0924/popular/linear_probe.parquet,3000,0.9483544230461121,0.9320517182350159,0.9632606506347656,0.5946173667907715,0.5128979682922363,0.6869518756866455
molmo-7b-d-0924,DASH-B,dash-b,object_cond,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/molmo-7b-d-0924/dash-b/object_conditioned/local_pca.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/molmo-7b-d-0924/dash-b/object_conditioned/full_curve.json,outputs/gpu_round_2026_04/bank_identity/predictions/molmo-7b-d-0924/dash-b/object_conditioned/full_curve.parquet,2682,0.7811731100082397,0.7591260075569153,0.8005069494247437,0.5495520830154419,0.5073733925819397,0.5897859930992126
molmo-7b-d-0924,DASH-B,dash-b,shared,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/molmo-7b-d-0924/dash-b/shared/local_pca.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/molmo-7b-d-0924/dash-b/shared/full_curve.json,outputs/gpu_round_2026_04/bank_identity/predictions/molmo-7b-d-0924/dash-b/shared/full_curve.parquet,2682,0.7576001882553101,0.730333149433136,0.7802873253822327,0.5473571419715881,0.5093631744384766,0.5860086679458618
molmo-7b-d-0924,DASH-B,dash-b,shuffled,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/molmo-7b-d-0924/dash-b/shuffled_object/local_pca.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/molmo-7b-d-0924/dash-b/shuffled_object/full_curve.json,outputs/gpu_round_2026_04/bank_identity/predictions/molmo-7b-d-0924/dash-b/shuffled_object/full_curve.parquet,2682,0.6848158240318298,0.6626639366149902,0.7077937722206116,0.5061332583427429,0.4581621885299682,0.5526551008224487
molmo-7b-d-0924,DASH-B,dash-b,query_local_k30,ok,image_grouped,outputs/gpu_round_2026_04/query_local_bank/features/molmo-7b-d-0924/dash-b/query_local_k30.parquet,outputs/gpu_round_2026_04/query_local_bank/metrics/molmo-7b-d-0924/dash-b/query_local_k30.json,outputs/gpu_round_2026_04/query_local_bank/predictions/molmo-7b-d-0924/dash-b/query_local_k30.parquet,2682,0.9477118253707886,0.937321126461029,0.9571774005889893,0.8837388753890991,0.8607567548751831,0.9038514494895935
molmo-7b-d-0924,DASH-B,dash-b,no_manifold,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/molmo-7b-d-0924/dash-b/object_conditioned/no_manifold.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/molmo-7b-d-0924/dash-b/object_conditioned/no_manifold.json,outputs/gpu_round_2026_04/bank_identity/predictions/molmo-7b-d-0924/dash-b/object_conditioned/no_manifold.parquet,2682,0.8563352823257446,0.8339638113975525,0.8743976950645447,0.6735981702804565,0.6362777352333069,0.7068511247634888
molmo-7b-d-0924,DASH-B,dash-b,linear_probe,ok,image_grouped,outputs/gpu_round_2026_04/query_local_bank/features/molmo-7b-d-0924/dash-b/linear_probe.parquet,outputs/gpu_round_2026_04/query_local_bank/metrics/molmo-7b-d-0924/dash-b/linear_probe.json,outputs/gpu_round_2026_04/query_local_bank/predictions/molmo-7b-d-0924/dash-b/linear_probe.parquet,2682,0.9809613227844238,0.9758156538009644,0.9855144023895264,0.9635321497917175,0.9547929167747498,0.9714403748512268
