model,benchmark,distance_type,roc_auc,roc_auc_ci_lower,roc_auc_ci_upper,pr_auc,pr_auc_ci_lower,pr_auc_ci_upper,status,source_report,split_strategy,n_rows,reason
internvl3.5-8b,POPE adversarial,no_manifold,0.8012544014325984,0.777025156674065,0.8242371266763223,0.3423313049328777,0.29599801916542423,0.39354433616114143,ok,outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,row,3000.0,
internvl3.5-8b,POPE adversarial,euclidean_pca_residual,0.8622747926082031,0.8274453167601442,0.8947074124323081,0.4153674568259514,0.3265975646167834,0.5222963538473951,ok,,row,3000.0,
internvl3.5-8b,POPE adversarial,centroid_angular,0.8388373877769792,0.8017286640460607,0.8731316070578443,0.37155906206650136,0.28568599555478524,0.4766067477016833,ok,,row,3000.0,
internvl3.5-8b,POPE adversarial,knn_angular_k10,0.8549780122059665,0.8208697400638137,0.8862397069424018,0.35455903550314233,0.28449813063813395,0.4566201889972044,ok,,row,3000.0,
internvl3.5-8b,POPE adversarial,centroid_euclidean,0.8420167862494061,0.8073522187841289,0.8754542835625043,0.38276535193038164,0.300355193340755,0.49632649301718285,ok,,row,3000.0,
internvl3.5-8b,RePOPE,full_MIND_saved,0.8918931223568928,0.8753719638490761,0.9076548624979603,0.5071775552600606,0.44652525468462456,0.564116983010033,ok,outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-repope,row,3000.0,
internvl3.5-8b,RePOPE,no_manifold,0.8480226017280104,0.8256621474210613,0.8679202057370445,0.4133244527109172,0.3584907651188616,0.4717642932136729,ok,outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-repope,row,3000.0,
internvl3.5-8b,RePOPE,euclidean_pca_residual,0.8937527989252128,0.8657309574472405,0.9216138038711985,0.46287684928365125,0.36177299119817263,0.5843473780267927,ok,,row,3000.0,
internvl3.5-8b,RePOPE,centroid_angular,0.8791477569948114,0.8472745400881563,0.9094787898021792,0.4294425924976096,0.3260099042723759,0.5494978233803085,ok,,row,3000.0,
internvl3.5-8b,RePOPE,knn_angular_k10,0.8762777282945242,0.8437959508591623,0.9050458800781362,0.34589247672396906,0.2659198177630107,0.4400656418981971,ok,,row,3000.0,
internvl3.5-8b,RePOPE,centroid_euclidean,0.8882809517750351,0.8560977710260276,0.9184177316760038,0.44355019882134367,0.339921657634674,0.5589016134730466,ok,,row,3000.0,
llava-onevision-7b,POPE popular,full_MIND_saved,0.8890106878596875,0.8599611508216033,0.9159330390629143,0.1769279063689126,0.13010523341394487,0.24168566815962592,ok,outputs/decisive_round_2026_04/reports/round2-llava-onevision-7b-popular,image_grouped,3000.0,
llava-onevision-7b,POPE popular,no_manifold,0.8077960776442706,0.7617645434062922,0.8536995092949022,0.1281772251123276,0.08863331216319507,0.1946812907798828,ok,outputs/decisive_round_2026_04/reports/round2-llava-onevision-7b-popular,image_grouped,3000.0,
llava-onevision-7b,POPE popular,euclidean_pca_residual,0.8085487438194527,0.7808960918665436,0.8404986536331182,0.0874037731645798,0.06422413394329503,0.12251469872368215,ok,,image_grouped,3000.0,
llava-onevision-7b,POPE popular,centroid_angular,0.8237796193439066,0.7763718781580449,0.8656183251791529,0.13515709896577544,0.09547971304277186,0.19981204373301645,ok,,image_grouped,3000.0,
llava-onevision-7b,POPE popular,knn_angular_k10,0.8516128285194863,0.8123688204338215,0.8865939708889786,0.15187048563061278,0.10825586347905111,0.2208132655482434,ok,,image_grouped,3000.0,
llava-onevision-7b,POPE popular,centroid_euclidean,0.8166852581644981,0.7673734917613351,0.860214725170187,0.13777367209137703,0.09703257464530066,0.19710536796388817,ok,,image_grouped,3000.0,
llava-onevision-7b,DASH-B,full_MIND_saved,0.8505031861337939,0.8313850682202402,0.8691490368752846,0.7235896135584172,0.6868839267624461,0.7556801149564192,ok,outputs/decisive_round_2026_04/reports/round2-llava-onevision-7b-dash-b,image_grouped,2682.0,
llava-onevision-7b,DASH-B,no_manifold,0.8995709513800253,0.8839380668208596,0.9129806246263509,0.7883030674183819,0.7549091135973485,0.8201394311981787,ok,outputs/decisive_round_2026_04/reports/round2-llava-onevision-7b-dash-b,image_grouped,2682.0,
llava-onevision-7b,DASH-B,euclidean_pca_residual,0.8404364979573633,0.8208114378892005,0.859910751853193,0.7233735985678682,0.689301766727901,0.7552390852532445,ok,,image_grouped,2682.0,
llava-onevision-7b,DASH-B,centroid_angular,,,,,,,missing_cache,,,,missing eval cache
llava-onevision-7b,DASH-B,knn_angular_k10,,,,,,,missing_cache,,,,missing eval cache
llava-onevision-7b,DASH-B,centroid_euclidean,,,,,,,missing_cache,,,,missing eval cache
llava-onevision-7b,POPE adversarial,full_MIND_saved,0.8327773841275521,0.8054890379699167,0.8598225915124678,0.18353444253526185,0.14135247845250126,0.23473529116820663,ok,outputs/decisive_round_2026_04/reports/round2-llava-onevision-7b-adversarial,row,3000.0,
llava-onevision-7b,POPE adversarial,no_manifold,0.6985750908076526,0.6594946293967687,0.7372241059388916,0.09475001687745133,0.07452314642644112,0.12434264040632105,ok,outputs/decisive_round_2026_04/reports/round2-llava-onevision-7b-adversarial,row,3000.0,
llava-onevision-7b,POPE adversarial,euclidean_pca_residual,0.8132033788174139,0.7510443493667496,0.8663146753104153,0.15367528267549896,0.0990453705177815,0.23014583813801134,ok,,row,3000.0,
llava-onevision-7b,POPE adversarial,centroid_angular,,,,,,,missing_cache,,,,missing eval cache
llava-onevision-7b,POPE adversarial,knn_angular_k10,,,,,,,missing_cache,,,,missing eval cache
llava-onevision-7b,POPE adversarial,centroid_euclidean,,,,,,,missing_cache,,,,missing eval cache
llava-onevision-7b,RePOPE,full_MIND_saved,0.8381503617489777,0.806566969908071,0.866513902300722,0.13311451127368146,0.10005250783283519,0.17618991696976175,ok,outputs/decisive_round_2026_04/reports/round2-llava-onevision-7b-repope,row,3000.0,
llava-onevision-7b,RePOPE,no_manifold,0.7213306071091539,0.667097079118047,0.772771248483927,0.10540137862266988,0.07425481530972688,0.15909338036909734,ok,outputs/decisive_round_2026_04/reports/round2-llava-onevision-7b-repope,row,3000.0,
llava-onevision-7b,RePOPE,euclidean_pca_residual,0.8076613889762678,0.7536846393415179,0.8587194795619514,0.13746319375905153,0.06634557790012656,0.233581578777411,ok,,row,3000.0,
llava-onevision-7b,RePOPE,centroid_angular,0.8083254692251232,0.7519069528546712,0.8569825414260509,0.10392904559878728,0.06335714041586521,0.16797299902971402,ok,,row,3000.0,
llava-onevision-7b,RePOPE,knn_angular_k10,0.8460032854496522,0.7986770705638746,0.8872659818311225,0.11931703131445712,0.07265508937390852,0.18011217619451372,ok,,row,3000.0,
llava-onevision-7b,RePOPE,centroid_euclidean,0.8087798399217084,0.7595584312306969,0.8521974717150295,0.09954186093406321,0.058240660851687644,0.1706451693992802,ok,,row,3000.0,
molmo-7b-d-0924,POPE popular,full_MIND_saved,0.9109531802099347,0.8898361540191828,0.9313522120586992,0.38514181554190713,0.30638125992105386,0.46475668110280655,ok,outputs/decisive_round_2026_04/reports/round2-molmo-7b-d-0924-popular,image_grouped,3000.0,
molmo-7b-d-0924,POPE popular,no_manifold,0.8255951638304233,0.7955538149326007,0.8556939773063277,0.18569260730327,0.14587133630088836,0.2340994855253296,ok,outputs/decisive_round_2026_04/reports/round2-molmo-7b-d-0924-popular,image_grouped,3000.0,
molmo-7b-d-0924,POPE popular,euclidean_pca_residual,0.8839498209741549,0.8607928923100954,0.9059951726576092,0.2992082111475433,0.23270946982140592,0.3691420209850919,ok,,image_grouped,3000.0,
molmo-7b-d-0924,POPE popular,centroid_angular,0.8742723029009013,0.8407789293504158,0.9032589902248295,0.28775703233700595,0.2297793520522927,0.35734469818520653,ok,,image_grouped,3000.0,
molmo-7b-d-0924,POPE popular,knn_angular_k10,0.8822690260570294,0.8522452708461352,0.9079183359249038,0.34279460409048734,0.26942484420630175,0.4236889920753235,ok,,image_grouped,3000.0,
molmo-7b-d-0924,POPE popular,centroid_euclidean,0.8759154329459344,0.8425646422703499,0.9050673581680093,0.3016888053268464,0.24048016343320386,0.37619981923938356,ok,,image_grouped,3000.0,
molmo-7b-d-0924,DASH-B,full_MIND_saved,0.7987192931628099,0.7797880893290068,0.8155238391555749,0.5911187536088944,0.5457191751135604,0.6298463524823016,ok,outputs/decisive_round_2026_04/reports/round2-molmo-7b-d-0924-dash-b,image_grouped,2682.0,
molmo-7b-d-0924,DASH-B,no_manifold,0.8655409610382925,0.8478724172257642,0.8819426729606171,0.686066857726898,0.647864701320894,0.7191096161970025,ok,outputs/decisive_round_2026_04/reports/round2-molmo-7b-d-0924-dash-b,image_grouped,2682.0,
molmo-7b-d-0924,DASH-B,euclidean_pca_residual,0.779531129042796,0.7588613724258434,0.7978380372850225,0.5422038859328956,0.5009552631783322,0.5793977237490076,ok,,image_grouped,2682.0,
molmo-7b-d-0924,DASH-B,centroid_angular,0.8523775174772332,0.832392905982494,0.8708024746368183,0.675508422611127,0.6382843207638123,0.7103396884654112,ok,,image_grouped,2682.0,
molmo-7b-d-0924,DASH-B,knn_angular_k10,0.8543316414311236,0.8333757579155014,0.8735375543380443,0.6969668226066207,0.6625426694826739,0.7310381771179346,ok,,image_grouped,2682.0,
molmo-7b-d-0924,DASH-B,centroid_euclidean,0.846620738264202,0.82617881670006,0.8654726933936268,0.6621212287843327,0.6243013256012964,0.6978809228063461,ok,,image_grouped,2682.0,
molmo-7b-d-0924,POPE adversarial,full_MIND_saved,0.8539417978372511,0.8293223346068178,0.8761609248249617,0.29595738176315467,0.24468538989164862,0.35662553591547486,ok,outputs/decisive_round_2026_04/reports/round2-molmo-7b-d-0924-adversarial,row,3000.0,
