epoch,loss,model_alias,objective,negative_budget_ratio,negative_budget_seed
17.0,8.77904822431018,qwen3-vl-8b,proxy_anchor,1.0,20260506
18.0,10.180183954095122,qwen3-vl-8b,proxy_anchor,1.0,20260506
19.0,9.17788908972812,qwen3-vl-8b,proxy_anchor,1.0,20260506
20.0,12.24797812131182,qwen3-vl-8b,proxy_anchor,1.0,20260506
1.0,12.69547156329131,qwen3-vl-8b,proxy_anchor,1.0,20260507
2.0,12.187257862570299,qwen3-vl-8b,proxy_anchor,1.0,20260507
3.0,11.96430981314961,qwen3-vl-8b,proxy_anchor,1.0,20260507
4.0,11.67807713609245,qwen3-vl-8b,proxy_anchor,1.0,20260507
5.0,11.70392377556269,qwen3-vl-8b,proxy_anchor,1.0,20260507
6.0,11.262090969085694,qwen3-vl-8b,proxy_anchor,1.0,20260507
7.0,12.047532185118403,qwen3-vl-8b,proxy_anchor,1.0,20260507
8.0,10.992847505885752,qwen3-vl-8b,proxy_anchor,1.0,20260507
9.0,10.363203933370773,qwen3-vl-8b,proxy_anchor,1.0,20260507
10.0,10.025635138468527,qwen3-vl-8b,proxy_anchor,1.0,20260507
11.0,9.950588320248091,qwen3-vl-8b,proxy_anchor,1.0,20260507
12.0,9.882255252282224,qwen3-vl-8b,proxy_anchor,1.0,20260507
13.0,10.884600831036591,qwen3-vl-8b,proxy_anchor,1.0,20260507
14.0,9.512192939873318,qwen3-vl-8b,proxy_anchor,1.0,20260507
15.0,10.121503822288322,qwen3-vl-8b,proxy_anchor,1.0,20260507
16.0,9.464050893448105,qwen3-vl-8b,proxy_anchor,1.0,20260507
17.0,9.494723769528182,qwen3-vl-8b,proxy_anchor,1.0,20260507
18.0,8.575009096806971,qwen3-vl-8b,proxy_anchor,1.0,20260507
19.0,8.380372048862016,qwen3-vl-8b,proxy_anchor,1.0,20260507
20.0,8.254735859914042,qwen3-vl-8b,proxy_anchor,1.0,20260507
1.0,12.585865116598619,qwen3-vl-8b,proxy_anchor,1.0,20260508
2.0,12.145967648376772,qwen3-vl-8b,proxy_anchor,1.0,20260508
3.0,11.70480522462471,qwen3-vl-8b,proxy_anchor,1.0,20260508
4.0,11.372839600836212,qwen3-vl-8b,proxy_anchor,1.0,20260508
5.0,11.520552670656137,qwen3-vl-8b,proxy_anchor,1.0,20260508
6.0,11.306940561802543,qwen3-vl-8b,proxy_anchor,1.0,20260508
7.0,10.66204947850213,qwen3-vl-8b,proxy_anchor,1.0,20260508
8.0,10.309096118792816,qwen3-vl-8b,proxy_anchor,1.0,20260508
9.0,10.437658435495655,qwen3-vl-8b,proxy_anchor,1.0,20260508
10.0,9.121082602074399,qwen3-vl-8b,proxy_anchor,1.0,20260508
11.0,11.791569358020572,qwen3-vl-8b,proxy_anchor,1.0,20260508
12.0,10.70754445138289,qwen3-vl-8b,proxy_anchor,1.0,20260508
13.0,9.351075682328574,qwen3-vl-8b,proxy_anchor,1.0,20260508
14.0,10.210860802540228,qwen3-vl-8b,proxy_anchor,1.0,20260508
15.0,9.61110374124805,qwen3-vl-8b,proxy_anchor,1.0,20260508
1.0,12.34157069556767,qwen3-vl-8b,proxy_anchor,0.5,20260506
2.0,11.50891586691447,qwen3-vl-8b,proxy_anchor,0.5,20260506
3.0,11.313974909224305,qwen3-vl-8b,proxy_anchor,0.5,20260506
4.0,10.751286809694106,qwen3-vl-8b,proxy_anchor,0.5,20260506
5.0,12.315692214260846,qwen3-vl-8b,proxy_anchor,0.5,20260506
6.0,10.943719440906689,qwen3-vl-8b,proxy_anchor,0.5,20260506
7.0,11.417310727450392,qwen3-vl-8b,proxy_anchor,0.5,20260506
8.0,10.532031636952864,qwen3-vl-8b,proxy_anchor,0.5,20260506
9.0,10.389058714285033,qwen3-vl-8b,proxy_anchor,0.5,20260506
10.0,9.814271370733053,qwen3-vl-8b,proxy_anchor,0.5,20260506
11.0,11.849686464000287,qwen3-vl-8b,proxy_anchor,0.5,20260506
12.0,10.53522893878224,qwen3-vl-8b,proxy_anchor,0.5,20260506
