model_alias,dataset_family,objective,negative_budget_ratio,negative_budget_seed,num_bank_correct,embedding_dim,mean_resultant_length,concentration_proxy
gemma-3-12b-it,dash-b,proxy_anchor,0.1,20260506,326,128,0.9916893435166985,7609.901499276801
gemma-3-12b-it,repope,proxy_anchor,0.1,20260507,1443,128,0.9810200203116025,3314.5573821629405
gemma-3-12b-it,pope,proxy_anchor,0.1,20260507,1543,128,0.9791999721936703,3021.7760635150084
gemma-3-12b-it,dash-b,proxy_anchor,0.1,20260507,326,128,0.9906205323946627,6739.198095469851
gemma-3-12b-it,repope,proxy_anchor,0.1,20260508,1443,128,0.9859221774285096,4479.6515909744985
gemma-3-12b-it,pope,proxy_anchor,0.1,20260508,1543,128,0.9847274113266823,4126.766236274731
gemma-3-12b-it,dash-b,proxy_anchor,0.1,20260508,326,128,0.992952641654232,8979.599125904146
gemma-4-12b-it,repope,proxy_anchor,1.0,20260506,1138,128,0.930298527823464,879.0619358541488
gemma-4-12b-it,pope,proxy_anchor,1.0,20260506,1180,128,0.921651306904513,778.3565321454682
gemma-4-12b-it,dash-b,proxy_anchor,1.0,20260506,397,128,0.998957136874488,60859.29403831149
gemma-4-12b-it,repope,proxy_anchor,1.0,20260507,1138,128,0.9533620786351196,1329.9982705620175
gemma-4-12b-it,pope,proxy_anchor,1.0,20260507,1180,128,0.9423861763422796,1070.4166801200877
gemma-4-12b-it,dash-b,proxy_anchor,1.0,20260507,397,128,0.999218133784915,81185.17729692304
gemma-4-12b-it,repope,proxy_anchor,1.0,20260508,1138,128,0.96121376178049,1605.7619260715924
gemma-4-12b-it,pope,proxy_anchor,1.0,20260508,1180,128,0.9515078335894278,1277.9024217326
gemma-4-12b-it,dash-b,proxy_anchor,1.0,20260508,397,128,0.9995259383146403,133918.05490834056
gemma-4-12b-it,repope,proxy_anchor,0.5,20260506,1138,128,0.9521895945598324,1296.5873702751069
gemma-4-12b-it,pope,proxy_anchor,0.5,20260506,1180,128,0.9464348812088407,1153.7956488068126
gemma-4-12b-it,dash-b,proxy_anchor,0.5,20260506,397,128,0.9976465462827602,26950.832839272513
gemma-4-12b-it,repope,proxy_anchor,0.5,20260507,1138,128,0.942847217482815,1079.3158727233397
gemma-4-12b-it,pope,proxy_anchor,0.5,20260507,1180,128,0.9391971696688517,1012.5529655770204
gemma-4-12b-it,dash-b,proxy_anchor,0.5,20260507,397,128,0.9980337605355107,32264.36758157032
gemma-4-12b-it,repope,proxy_anchor,0.5,20260508,1138,128,0.9985385314229218,43418.67130675496
gemma-4-12b-it,pope,proxy_anchor,0.5,20260508,1180,128,0.9981504787020616,34302.42707436762
gemma-4-12b-it,dash-b,proxy_anchor,0.5,20260508,397,128,0.999924283550542,838624.5271266312
qwen3.5-4b,repope,proxy_anchor,1.0,20260506,1548,128,0.8879876899168462,534.1562705084086
qwen3.5-4b,pope,proxy_anchor,1.0,20260506,1622,128,0.8670790920454736,444.5844389837328
qwen3.5-4b,dash-b,proxy_anchor,1.0,20260506,361,128,0.9555115147795966,1395.8188175073967
qwen3.5-4b,repope,proxy_anchor,1.0,20260507,1548,128,0.8010950320551157,284.79269908674183
qwen3.5-4b,pope,proxy_anchor,1.0,20260507,1622,128,0.7893686444006963,266.7765740073439
qwen3.5-4b,dash-b,proxy_anchor,1.0,20260507,361,128,0.9550219363820235,1380.273896183032
qwen3.5-4b,repope,proxy_anchor,1.0,20260508,1548,128,0.9489447194780952,1212.1171090604928
qwen3.5-4b,pope,proxy_anchor,1.0,20260508,1622,128,0.9354731549125247,952.2135025239281
qwen3.5-4b,dash-b,proxy_anchor,1.0,20260508,361,128,0.9565526031339832,1430.0390136945823
